pid,price,link,name
B01LZWIOS4,"48,999.00",http://www.amazon.in/Apple-iPhone-Rose-Gold-32GB/dp/B01LZWIOS4,"Apple iPhone 7 (Rose Gold, 32GB)"
B01LXASAI9,"72,820.00",http://www.amazon.in/Apple-iPhone-Plus-Black-128GB/dp/B01LXASAI9,"Apple iPhone 7 Plus (Jet Black, 128GB)"
B0722PSP6L,"12,499.00",http://www.amazon.in/Nubia-Lite-Black-Gold-32GB-Memory/dp/B0722PSP6L,"Nubia M2 Lite (Black-Gold, 4 GB RAM + 32GB Memory)"
B01J14O7ZY,"11,900.00",http://www.amazon.in/Samsung-Galaxy-J7-SM-J710F-Smart/dp/B01J14O7ZY,"Samsung Galaxy J7 2016 Edition SM-J710F (Gold, 16GB)"
B01M0811EC,"58,930.00",http://www.amazon.in/Apple-iPhone-Jet-Black-128GB/dp/B01M0811EC,"Apple iPhone 7 (Jet Black, 128GB)"
B071Y7Q6B8,"4,999.00",http://www.amazon.in/Era-1X-Volte-Chocolate-Brown-Gold/dp/B071Y7Q6B8,"Xolo Era 1X 4G with Volte (Chocolate Brown-Gold, 8GB)"
B01M4J5P2J,"9,999.00",http://www.amazon.in/InFocus-Epic-Gold-10-Core/dp/B01M4J5P2J,"InFocus Epic 1 (Gold, 10 Core)"
B01ABYRHYG,"8,990.00",http://www.amazon.in/Huawei-Holly-2-Plus-Holly2/dp/B01ABYRHYG,Honor Holly2 Plus (Gold)
B06XRBKCB1,"6,888.00",http://www.amazon.in/Xolo-Era-2X-3GB-Black/dp/B06XRBKCB1,"Xolo Era 2X (Black-Gun, 3GB RAM)"
B01M2AAF6B,"1,300.00",http://www.amazon.in/Infocus-F130-Primary-Camera-Pixels/dp/B01M2AAF6B,Infocus F130 0.3 MP Primary Camera LED Flash 640 x 480 Pixels
B00N8KGONQ,"1,658.00",http://www.amazon.in/Panasonic-GD25c-CDMA-GSM-GREY-BLACK/dp/B00N8KGONQ,Panasonic GD25c CDMA+GSM (GREY-BLACK)
B01FM7JQWI,"12,998.00",http://www.amazon.in/Coolpad-Cool-1-Gold-4GB/dp/B01FM7JQWI,"Coolpad Cool 1 (Gold, 4GB)"
B071XSN6T4,"36,526.00",http://www.amazon.in/LG-G6-FullVision-Astro-Black/dp/B071XSN6T4,LG G6 LGH870DS (Astro Black)
B00M5XAEJM,"1,278.00",http://www.amazon.in/Micromax-CG666-Black-Grey/dp/B00M5XAEJM,Micromax CG666 (Black-Grey)
B01FM7JZYW,"12,999.00",http://www.amazon.in/Coolpad-Cool-Silver-32GB-memory/dp/B01FM7JZYW,"Coolpad Cool 1 (Silver, 4GB RAM + 32GB memory)"
B01DDP7UQ0,,,"OnePlus 3 (Graphite, 64 GB)"
B018CGODWO,"1,199.00",http://www.amazon.in/Nokia-SS-105-NOKIA-BLACK/dp/B018CGODWO,NOKIA 105 SS (BLACK)
B0133W68YI,"2,780.00",http://www.amazon.in/Samsung-Metro-350-Blue-Black/dp/B0133W68YI,Samsung Metro 350 (Blue-Black)
B01H4U80R8,"13,499.00",http://www.amazon.in/Sony-Xperia-XA-Graphite-Black/dp/B01H4U80R8,Sony Xperia XA Dual (Graphite Black)
B06WRNQF97,799.00,http://www.amazon.in/Aqua-Neo-Plus-Battery-Vibration/dp/B06WRNQF97,Aqua Neo Plus - 2000 mAh Battery Dual SIM Basic Keypad Mobile Phone with Vibration Feature - White
B06XHHWYKS,"8,490.00",http://www.amazon.in/LETV-X507-Silver-Certified-Refurbished/dp/B06XHHWYKS,"LETV Le 1s X507 (Silver, 32GB)(Certified Refurbished)"
B013UTLMNG,"1,410.00",http://www.amazon.in/SAMSUNG-GURU-Plus-SM-B110E-White/dp/B013UTLMNG,SAMSUNG GURU FM Plus SM-B110E/D (White)
B072NZ2FN5,"4,499.00",http://www.amazon.in/Micromax-Spark-Vdeo-Volte-Champagne/dp/B072NZ2FN5,Micromax Spark Vdeo 4G Volte Q415 (Champagne)
B019V5JCZ8,"4,194.00",http://www.amazon.in/Nokia-230-Dual-Sim-Silver/dp/B019V5JCZ8,Nokia 230 Dual Sim (Silver)
B06Y1PL4XV,"22,990.00",http://www.amazon.in/Vivo-V5Plus-Gold-with-Offers/dp/B06Y1PL4XV,Vivo V5Plus (Gold) with Offers
B0727VCWRY,"1,299.00",http://www.amazon.in/KALL-4-57-Mobile-Phone-Combo/dp/B0727VCWRY,I KALL 4.57 cm (1.8 Inch) Mobile Phone Combo - K3310 (Dark and sky blue) With feature of currency detector and Battery saving option
B01B4VFH6U,"4,814.00",http://www.amazon.in/Gionee-P5W-Black/dp/B01B4VFH6U,Gionee P5W (Black)
B073RM8DGC,"1,180.00",http://www.amazon.in/Infocus-Power-Black-Battery-screen/dp/B073RM8DGC,"Infocus Hero Power B1 F229, Black/GREY DUAL TONE (3000 Mah Battery, 2.4 Inch screen)"
B01FWNA0ZO,"3,190.00",http://www.amazon.in/Samsung-Metro-XL-SM-B355E-White/dp/B01FWNA0ZO,Samsung Metro XL SM-B355E (White)
